"","89grass","90grass","91grass","92grass","93grass","94grass","95grass","96grass","97grass","98grass","99grass","100grass","101grass","102grass","103grass","104grass","105grass","106grass","107grass","108grass","109grass","110grass","111grass","112grass","113grass","114grass","115grass","116grass","117grass","118grass","119grass","120grass","121grass","122grass","123grass","124grass","125grass","126grass","127grass","128grass","129grass","130grass","131grass","132grass","133grass","134grass","135grass","136grass","137grass","138grass","139grass","140grass","141grass","142grass","143grass","144grass","145grass","146grass","147grass","148grass","149grass","150grass","151grass","152grass","153grass","154grass","155grass","156grass","157grass","158grass","159grass"
"OTU44:5grass",644,2032,222,119,462,18,20,183,8,241,50,61,228,917,696,111,430,401,302,211,47,49,238,172,88,147,284,201,207,12,17,69,32,27,164,101,107,92,552,84,0,45,29,141,25,124,31,513,74,26,34,52,0,89,73,74,103,190,13,218,15,157,33,0,92,77,381,204,489,586,75
"OTU61:5grass",0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,5,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,1,1,0,0,0,0,0,42,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0
"OTU2851:54grass",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU475:8grass",53,0,18,0,0,0,0,0,0,13,0,0,0,0,0,22,0,10,5,0,0,0,0,0,1,0,0,9,0,0,0,0,0,8,0,4,0,0,0,0,0,0,0,8,1,2,0,5,0,6,0,0,0,0,7,0,11,0,0,0,0,6,15,0,0,0,0,23,0,0,0
"OTU567:5grass",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU22:6grass",0,0,0,0,0,110,62,3,131,2,66,123,0,3,0,0,0,0,0,1,3,1,5,1,0,0,0,0,0,0,0,19,4359,3,3,1,0,0,0,0,0,0,0,1,6,2,1,0,0,1,0,0,0,0,1,3,2,1,1,0,0,0,0,0,0,0,1,2,3,2,0
"OTU118:8grass",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU2413:112grass",0,0,2,0,23,1,0,4,1,0,2,3,3,1,0,0,1,4,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU404:34grass",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,29,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0
"OTU2422:8grass",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
