"","s.French_flat","s.Hazel_Dell","s.Horse_Rock","s.Lower_Table","s.Roxy_Ann","s.Upper_Table","s.Upper_Weir","s.Whetstone","s.Whidbey","index","stat","p.value"
"OTU58:7grass",1,0,0,0,1,1,0,0,0,64,0.357873456153665,0.0085
"OTU2553:95grass",1,0,0,0,0,0,0,0,0,1,0.289852815017594,0.0646
"OTU83:5grass",0,0,1,0,0,0,0,0,0,3,0.341296272410651,0.0158
"OTU1171:13grass",1,0,0,0,0,1,0,0,0,14,0.326745001652642,0.031
"OTU2830:19grass",0,0,0,0,1,1,0,0,0,36,0.506712558797851,1e-04
"OTU3318:83grass",0,0,0,0,1,1,0,0,0,36,0.662872565388965,1e-04
"OTU176:25grass",0,0,0,1,0,0,0,0,0,4,0.542502760933814,1e-04
"OTU667:36grass",0,0,0,1,1,0,0,0,0,31,0.283250060763002,0.0763
"OTU1559:97grass",0,0,0,0,1,1,0,1,0,121,0.429588968293006,9e-04
"OTU170:42grass",0,0,1,0,0,0,0,1,0,29,0.32125504810311,0.0307
"OTU2022:95grass",1,0,0,0,1,0,0,1,0,66,0.446553040361764,6e-04
"OTU1581:98grass",1,0,0,0,0,0,0,0,0,1,0.272352733480255,0.0948
"OTU1647:39grass",0,1,0,0,0,0,0,0,1,24,0.33265631592175,0.0246
"OTU251:5grass",0,0,0,0,1,0,0,0,0,5,0.298148333463512,0.0284
"OTU3421:158grass",0,0,0,1,1,1,0,1,1,378,0.428878265661237,2e-04
"OTU3361:5grass",1,0,0,0,0,0,0,0,0,1,0.273434370809865,0.1194
"OTU2185:88grass",1,0,0,0,1,1,0,1,0,177,0.429429460675333,7e-04
"OTU385:95grass",0,0,0,0,0,0,0,1,0,8,0.38582567648853,0.0226
"OTU3708:33grass",1,1,0,0,0,1,0,0,0,49,0.18337052057076,0.911
"OTU1159:26grass",1,0,0,0,0,0,0,0,0,1,0.418666755876118,0.0025
"OTU594:108grass",1,0,0,0,0,0,0,1,0,16,0.239784954172246,0.2442
"OTU392:6grass",1,0,0,0,0,0,0,0,0,1,0.192850970089397,1
"OTU39:6grass",0,0,1,0,0,0,1,0,0,28,0.380118972614278,0.0045
"OTU138:6grass",0,0,0,0,0,0,1,0,0,7,0.269908340081332,0.2574
"OTU2061:110grass",1,0,0,0,1,1,0,1,0,177,0.465325422882774,5e-04
"OTU340:6grass",0,0,1,1,1,0,0,1,1,366,0.202915431891562,0.4881
"OTU462:8grass",1,0,0,0,0,1,0,0,0,14,0.232536716899831,0.2494
"OTU821:6grass",1,0,0,0,0,0,0,0,0,1,0.192622844342662,0.7567
"OTU185:18grass",0,1,0,1,0,0,0,1,1,210,0.232721487269863,0.2618
"OTU321:6grass",0,1,1,0,0,0,0,0,0,18,0.148215366543967,0.9517
"OTU147:20grass",0,0,0,1,0,0,0,0,0,4,0.293117451581368,0.0164
"OTU999:6grass",1,0,0,0,0,0,0,0,0,1,0.288687561151914,0.0413
"OTU267:6grass",0,0,1,0,0,0,1,0,0,28,0.267677893582313,0.1019
"OTU393:6grass",0,1,0,0,0,1,0,0,0,21,0.20902171936935,0.6048
"OTU1246:89grass",1,0,0,0,0,0,0,0,0,1,0.41592606033546,0.0013
"OTU72:6grass",0,1,0,0,0,0,0,0,1,24,0.239588557075893,0.2291
"OTU493:6grass",1,0,0,0,0,0,0,0,0,1,0.289758685258338,0.046
"OTU125:6grass",0,0,0,1,0,0,0,0,0,4,0.412685776451509,0.0012
"OTU180:6grass",0,0,0,0,1,1,0,0,0,36,0.311817027682436,0.0389
"OTU34:7grass",0,1,1,0,0,0,0,0,1,79,0.59132456977901,1e-04
"OTU2839:138grass",0,0,1,0,0,0,0,0,0,3,0.25835021931781,0.1318
